title,city,district,neighborhood,room,salon,area,age,floor,price
Dost'tan Dervişpaşa'da Afjetli Kiralik 2+1 Daire,afyonkarahisar,merkez,dervis,2,1,95,31,3,8500
Dost'tan Eşrefpaşa Mahallesi Kiralık Geniş 2+1 Daire,afyonkarahisar,merkez,esrefpasa,2,1,100,21,1,6500
Sahibinden Kiralık Daire,afyonkarahisar,merkez,ali,1,1,90,16,1,7000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,60,4,4,7000
Sahibinden 2+1 Kiralık Daire,afyonkarahisar,bolvadin,imaret,2,1,76,15,1,4250
Öztürk Emlak'tan Merkez Cumhuriyet Mh'de Ara Kat Asansörlü Yalıtımlı Daire,afyonkarahisar,merkez,cumhuriyet,3,1,125,22,3,8500
Stüdyo House'dan Kiralık 1+1 Full Eşyalı Yakıt İnternet Dahil,afyonkarahisar,merkez,marulcu,1,1,48,10,3,8500
Nokta Emlak'tan Eşrefpaşa Mah Kiralık 2+1 Sobalı Daire,afyonkarahisar,merkez,esrefpasa,3,1,100,30,5,4500
Öztürk Emlak'tan Karşıyaka Mh'de 1+1 Doğalgazlı 2. Kat Daire,afyonkarahisar,merkez,karsiyaka,1,1,55,7,5,5500
Şuhut Merkezde Kiralık Daire,afyonkarahisar,suhut,haci,3,1,120,2,2,8000
Öztürk Emlak'tan Merkez Cumhuriyet Mh'de 2+1 D.Gazlı 1.Kat Daire,afyonkarahisar,merkez,cumhuriyet,2,1,100,17,1,7500
Nokta Emlaktan Dumlupınar Mahllesinde 1+1 Kiralık Daire,afyonkarahisar,merkez,dumlupinar,1,1,55,25,0,5000
Afyon Vizyon Emlaktan Dumlupınar'da 3+1 Afjetli Kiralık Daire!!!,afyonkarahisar,merkez,dumlupinar,3,1,140,13,4,10000
Öztürk Emlak'tan Merkez'de Eşyalı Isı Yalıtımlı 1+1 1.Kat Daire,afyonkarahisar,merkez,yunus,1,1,50,7,3,7500
Afyon Karahisar İli Karşıyaka Mahallesinde 2+1 Sıfır Kiralık Daire,afyonkarahisar,merkez,karsiyaka,2,1,90,1,1,10000
Afyon Sur Emlaktan Kadınana Caddesinde Eşyalı Daire,afyonkarahisar,merkez,marulcu,2,1,90,20,3,10000
Sılam Emlak'tan Dumlupınar Mahallesinde 3+1 Eşyalı Kıralık Daıre,afyonkarahisar,merkez,dumlupinar,3,1,135,25,4,8000
Dumlupınar Mahallesinde 2+1 Geniş Bakımlı Afjetli Bakımlı Lüx Daire,afyonkarahisar,merkez,dumlupinar,3,1,120,15,-3,12500
Meteoroloji Karşısı 3+1 Kiralık Daire,afyonkarahisar,merkez,kocatepe,3,1,120,9,3,12500
Afyonkarahisar Erenler Mahallesinde Kiralık 2+1,afyonkarahisar,merkez,erenler,2,1,65,4,4,5250
Kiralık Daire,afyonkarahisar,merkez,cumhuriyet,3,1,120,25,5,10000
Vizyon Emlaktan Esentepe Mahallesi Kiralık 3+1 Bakımlı Daire,afyonkarahisar,merkez,esentepe,3,1,120,9,1,12000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,65,5,2,7250
Kiralık Daire,afyonkarahisar,merkez,sahipata,2,1,95,15,5,8500
Afyonkarahisar Erenler Mahallesinde Kiralık 1+1,afyonkarahisar,merkez,erenler,1,1,55,4,3,6750
Kıralık Daıre  Afyonkarahısarmerkrzınde 3+1 Arakat Dogalgazlı  Kıralık Daire,afyonkarahisar,merkez,maresal,3,1,120,20,2,7750
Kanlıca Tokilerde Kiralık 2+1 Daire,afyonkarahisar,merkez,kanlica,2,1,90,6,3,10000
Afyon Vizyon Emlaktan Veysel Karani Mh.Kiralık 2+1 Bodrum Kat Daire!!!,afyonkarahisar,merkez,veysel,2,1,90,20,0,3500
Dost'tan Mfç Mahallesi'nde Kiralık 4+1 Daire,afyonkarahisar,merkez,maresal,4,1,145,10,1,10000
Erenler Mahallesi 1+1kiralik Eşyalı,afyonkarahisar,merkez,erenler,1,1,45,5,5,5000
Dost'tan Eşrefpaşa'da Kiralik 3+1 Bahçe Katı,afyonkarahisar,merkez,esrefpasa,3,1,110,15,0,4500
Sılam Emlak'tan Dumlupınar Mahallesinde 1+1 Eşyalı Kıralık Daıre,afyonkarahisar,merkez,dumlupinar,1,1,60,18,3,10000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+1,afyonkarahisar,merkez,erenler,2,1,70,5,2,6600
Afyonkarahisar Toprak Emlaktan,afyonkarahisar,merkez,nazmi,4,1,135,15,3,9000
Öztürk Emlaktan Merkezde Isınma Dahil Eşyalı 2+0  Kiralık Daire,afyonkarahisar,merkez,yunus,2,0,55,15,2,6500
Plaza Emlak'dan Merkez'de Sıfır Kiralık Eşyalı Daire,afyonkarahisar,merkez,cumhuriyet,1,1,60,0,2,12000
Öztürk Emlak!Tan Harbiş Nazmi Saatçi'de 3+1 D.Gazlı Daire,afyonkarahisar,merkez,nazmi,3,1,115,6,1,8000
Sılam Emlaktan Çarşı Merkezde Eşyalı  2+1  Kiralık Daire,afyonkarahisar,merkez,dumlupinar,2,1,90,20,1,10000
Öztürk Emlak'tan Merkezde 1+0 Eşyalı Isınma Kiraya Dahil Bay Apart,afyonkarahisar,merkez,mecidiye,1,0,35,8,5,5100
Erenler Mahallesi 2+0 Eşyalı,afyonkarahisar,merkez,erenler,1,1,53,5,-1,6500
Ali İhsanpaşa Mahallesinde Kiralık 4+1 Daire,afyonkarahisar,merkez,ali,4,1,155,10,3,13000
Plaza Emlak Uydukent Kiralık Esyalı 2+1,afyonkarahisar,merkez,selcuklu,2,1,80,0,3,12500
Afyon Cumhuriyet Mahallesi Kiralık 3+1 Daire,afyonkarahisar,merkez,cumhuriyet,3,1,150,30,1,10000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,55,5,2,5600
Kiralık Daire,afyonkarahisar,merkez,dumlupinar,3,1,148,25,3,9000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+1,afyonkarahisar,merkez,erenler,2,1,60,3,4,5500
Afyon Vizyon Emlaktan Erenler'de Kiralık 2+0 Daire,afyonkarahisar,merkez,erenler,2,0,45,3,3,5000
Dost'tan Erenlerde Eşyalı Balkonlu Kiralık Geniş 1+1 Daire,afyonkarahisar,merkez,erenler,1,1,45,5,2,5000
Dost'tan Eşrefpaşa'da Kiralık 2+1 Daire,afyonkarahisar,merkez,esrefpasa,2,1,100,25,1,6500
Sılam Emlaktan 2+0 Kiralık Erenler,afyonkarahisar,merkez,erenler,2,0,55,4,3,5000
Dost'tan Erenlerde Merkezi Konum Eşyalı Kiralık Geniş 2+0 Daire,afyonkarahisar,merkez,erenler,2,0,48,2,4,5250
Öztürk Emlaktan Çarşı Merkezde Devran Kiralık Dükkan,afyonkarahisar,merkez,yunus,1,0,50,20,5,1100000
Afyonkarahisar Erenler Mahallesinde Kiralık 1+1,afyonkarahisar,merkez,erenler,1,1,55,4,2,5250
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,55,4,2,5250
Öztürk Emlak'tan İstiklal Mh'de 3+1 130m² Arakat D.Gazlı Daire,afyonkarahisar,merkez,istiklal,3,1,145,17,3,10000
Öztürk Emlak'tan Uydukent Selçuklu Mh'de 3+1 Afjetli Arakat Daire,afyonkarahisar,merkez,selcuklu,3,1,130,18,3,9500
Öztürk Emlak'tan Dervişpaşa Mh'de 3+1 Eşyalı Arakat Daire,afyonkarahisar,merkez,dervis,3,1,120,18,1,8000
Afyon Vizyon Emlaktan Kurtuluş Caddesinde Kiralık 3+1 Daire!,afyonkarahisar,merkez,zafer,3,1,125,20,5,13000
Hayalimden Tertemiz Kapalı Balkonlu Kombili Eşyalı 2+1,afyonkarahisar,merkez,erenler,2,1,78,4,4,6000
Öztürk Emlak'tan Eşrefpaşa Mh'de Arakat Isı Yalıtımlı 3+1 Daire,afyonkarahisar,merkez,esrefpasa,3,1,125,16,2,8000
Afyon Vizyon Emlaktan Cumhuriyet Mahallesinde Kiralık 3+1 Daire!,afyonkarahisar,merkez,cumhuriyet,3,1,125,25,5,6000
Afyon Merkez Dervişpaşa Mh. Sıfır 2+1 Afjetli Asansörlü Arakat Kiralık Daire,afyonkarahisar,merkez,dervis,2,1,80,0,3,10000
Marulcu Mahallesi 2+1 Sobalı Daire,afyonkarahisar,merkez,marulcu,2,1,120,35,1,5000
"Afyon Bolvadinde, Çarşıda Kıralık Triblex Daire",afyonkarahisar,bolvadin,sazi,3,1,151,20,1,7500
Afyonkarahisar Erenler Mahallesinde Kiralık 3+0,afyonkarahisar,merkez,erenler,3,0,85,5,2,6000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,60,4,3,5500
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,60,4,2,6500
Afyonkarahisar Erenler Mahallesinde Kiralık 1+1,afyonkarahisar,merkez,erenler,1,1,50,5,1,4000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,60,4,4,5500
Kiralık Cadde Üzeri Arakat Daire,izmir,tire,4,3,1,140,15,3,13250
Fırsat Alsancak Pazar Sokağında Tadilatlı 3+1 Keyifli Daire,izmir,konak,alsancak,3,1,110,25,3,19000
Atıcı Group’dan 100 M2 Kiralık Daire Karabağlar,izmir,karabaglar,peker,2,1,110,20,3,11000
Loca Yapıda 1+1 Kiralık Daire,izmir,torbali,yedi,1,1,60,0,2,10000
Ekonomi Üniv. Yakını  Eşyalı Kiralık Emlaksal'dan 2+1 Daire,izmir,balcova,koruturk,2,1,90,35,3,29000
Can Emlak Tan Ürkmez Mevkii Yaz-Kış Kiralık Daire,izmir,menderes,gumuldur,2,1,80,5,1,15000
Günay Emlak’tan Kiralık 2+1 80 M2 Sıfır Doğalgazlı Asansörlü Daire,izmir,torbali,muratbey,2,1,85,0,5,13000
"Çtn'den Narlıdere Ilıca'da Jeotermalli, Temiz Ve Bakımlı, Kiralık 3+1 Daire",izmir,narlidere,ilica,3,1,145,25,7,30000
Geniş Kullanışlı Lüks Daire,izmir,kemalpasa,ulucak,3,1,180,0,1,25000
Göztepe Metroya 2 Dak.Otoparklı Doğalgazlı 3+1 Bakımlı 2.Arakat,izmir,konak,goztepe,3,1,120,39,2,18500
Güzelbahçe Yelki'de Kiralık Eşyalı Ve Eşyasız 4+2 Havuzlu Villa,izmir,guzelbahce,mustafa,4,1,270,2,0,83000
Tınaztepe Hastane Yanında Eşyalı 2+1 Kiralık Daire.,izmir,buca,kurucesme,2,1,80,28,2,14000
Çigli K.Çiglide Yapılı 2+1 Kapalı Mutfak Daire Çigli Serkan Emlak Güvencesiyle,izmir,cigli,yeni,2,1,100,15,1,11000
Class'tan Alaçatı Çamlık Yol Civarı Havuzlu Sitede Sezonluk Villa,izmir,cesme,alacati,3,1,160,15,2,380000
Doğanay Mh Ordu Cd Üzeri 3+1 130m2 Arakat Doğalgazlı Asansörlü Full Eşyalı Kiralık Daire,izmir,karabaglar,doganay,3,1,130,30,4,20000
Ege Emlaktan Altınyunus Mh. 1+1 Havuzlu Sitede Denize Yakın,izmir,cesme,altinyunus,1,1,45,3,0,210000
