"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"Buca Üçkuyularda Kiralık 2+1 Açık Mutfak Sıfır Arakat Daire","70","2+1","13.000 TL","Buca"
"SEYREK 1+1 KİRALIK DAİRE","65","1+1","10.000 TL","MenemenSeyrek"
"BORNOVA DA 1+1 EŞYALI LÜKS DAİRE","65","1+1","19.000 TL","Bornova"
"Kiralık Daire, 3+1, Alp Böke Caddesinde, Dedebaşında, Çakırdan","130","3+1","17.500 TL","KarşıyakaNergiz"
"Port Alaçatı 2+1 Denize Sıfır Tekne Bağlamalı","120","2+1","300.000 TL","ÇeşmeAlaçatı"
"izmir Bornova Kiralik 2+1 Daire","80","2+1","15.000 TL","Bornova"
"Mansuroğlu Mah Tek Kule Projesi Biva Tower' da Kiralık 1+1 Daire","50","1+1","25.000 TL","Bayraklı"
"Metrokent'te Yeni Tadilatlı Temiz Daire","135","3+1","13.500 TL","Menemen"
"Doğalgazlı Sahibinden Kiralık 2+1 Daire","100","2+1","15.000 TL","BornovaÇamdibi"
"THE MARS'TAN AVCILAR CADDEBOSTAN'DA KİRALIK 3+1 DAİRE","145","3+1","35.000 TL","BornovaNaldöken"
"Zeta'dan Gaziemir Sarnıç Piknik Alanı Yakını Sıfır 1+1 Kiralık","50","1+1","12.000 TL","GaziemirSarnıç"
"kiralık daire","130","3+1","10.000 TL","Menemen"
"MUSTAFA KEMAL CADDESİ DEGİRMEN CAFE YANI 3+1 SIFIR KİRALIK DAİRE","110","3+1","30.000 TL","Bayraklı"
"Fırat yasayan.park dogal gazlı daire","127","2+1","12.000 TL","BucaŞirinyer"
"ÇEŞME LOCA TWİN SİTESİNDE BAHÇE KATI KİRALIK DAİRE","55","1+1","275.000 TL","Çeşme"
"Nexin Estate BUCA ATATÜRK KİRALIK DAİRE ÜNİVERSİTEYE 600 METRE","65","2+0","11.000 TL","Buca"
"SEFERİHİSAR'da HAVUZLU SİTE'de KİRALIK 2+1 DAİRE","85","2+1","20.000 TL","Seferihisar"
"FOLKART LİFE ZEMİN BAHÇE, PEYZAJ/HAVUZ CEPHE KİRALIK 1+1 DAİRE","70","1+1","30.000 TL","BornovaKazımdirik"
"Cadde Üzeri*Üniv. Karşısı D.gaz Klima/Lüks Eşyalı 1+1","50","1+1","11.750 TL","Buca"
"GÜNCEL***DOKUZ EYLÜL ÜNV. KAMPÜSE YAKIN D.GAZLI KLİMALI 2+1","72","2+1","13.000 TL","Buca"
"3+1 DOĞALGAZLI SIFIR EŞYALI BUCA KOZAĞAÇ DA KİRALIK DAİRE","130","3+1","23.000 TL","Buca"
"ADATEPE MAH.DE DOKUZ EYLÜL KAMPÜS ARKASI 1+1 ARAKAT GENİŞ DAİRE","60","1+1","11.000 TL","Buca"
"TURPA BUSINESS BALÇOVADAN KİRALIK DAİRE","165","2+1","20.000 TL","Balçova"
"SAHİBİNDEN KİRALIK","85","2+1","15.000 TL","Menderes"
"ÜZÜMCÜ OKULU YAKINI 2+1 AÇIK MUTFAK DGAZLI KİRALIK DAİRE","80","2+1","10.000 TL","KarabağlarYeşilyurt"
