"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"sahibinden kiralık daire","95","2+1","11.000 TL","YunusemreMerkez"
"Mimarsinan mahallesi cadde üstü","170","3+1","17.000 TL","YunusemreMerkez"
"MURADİYE MERKEZDE KİRALIK EŞYALI 1+1","65","1+1","13.750 TL","YunusemreMerkez"
"Manisa Laleli'de Arakat Doğalgazlı 3+1 Kiralık Daire","135","3+1","15.000 TL","YunusemreMerkez"
"Akhisar Manisa Ulucami Mahallesi 3+1 Sıfır Kiralık Daire","125","3+1","11.000 TL","AkhisarHürriyet"
"OREM EMLAKTAN KİRALIK 2+1 ARAKAT","95","2+1","13.000 TL","YunusemreMerkez"
"OREM DEN KİRALIK ÇİFT BAHÇELİ 2+1","80","2+1","11.000 TL","YunusemreMerkez"
"guven emlaktan kiralik 2+1 daire muradiye","90","2+1","10.000 TL","YunusemreMerkez"
"Muradiye'de Kiralık 2+1","85","2+1","12.500 TL","YunusemreMerkez"
"AKTAŞ EMLAK'TAN SİTE İÇİNDE BAHÇELİ DAİRE","190","4+1","32.000 TL","YunusemreMerkez"
"sahibinden kiralık daire","130","3+1","13.000 TL","Salihli"
"VARLIK EMLAK TAN MURADİYEDE 2+1 DOĞALGAZLI VE ASANSÖRLÜ DAİRE","85","2+1","12.000 TL","YunusemreMerkez"
"Ragıpbey Mahallesi'nde 2+1 Eşyalı Kiralık Daire","100","2+1","17.000 TL","AkhisarHürriyet"
"KİRALIK LÜKS DOĞALGAZLI DAİRE","165","3+1","15.000 TL","Alaşehir"
"VARGÜN'DEN MURADİYE İSTASYONDA FULL EŞYALI KİRALIK 2+1 DAİRE","95","2+1","16.500 TL","YunusemreMerkez"
"Karausta'dan İnönü'de Kiralık 3+1 Daire","125","3+1","8.000 TL","Akhisarİnönü"
"Seç market civarı doğalgazlı 3. Kat 1+1 eşyalı kiralık daire","55","1+1","8.000 TL","Salihli"
"EFE GAYRİMENKUL'DEN İSTASYONDA MAHALLESİNDE 4+1 KİRALIK DAİRE","225","4+1","15.000 TL","Alaşehir"
"HÜRRİYET MAH.KARAHAN TOWERS'TA KİRALIK 4+1 DAİRE","200","4+1","14.500 TL","AkhisarHürriyet"
"VELLİ' DEN VİLLALAR BÖLGESİNDE KİRALIK LÜX 1+1 EŞYALI DAİRE","65","1+1","15.000 TL","YunusemreMerkez"
"KİRALIK EŞYALI 1+1 EV","55","1+1","7.500 TL","Salihli"
"Medigün Hastanesi Karşısı Doğalgazlı Dubleks Daire","180","4+1","14.500 TL","Soma"
"PREMİUM ATA'DAN YENİ MAH. SİTE İÇİ OTOPARKLI KİRALIK DAİRE","85","2+1","12.500 TL","YunusemreMerkez"
"BELEDİYE YAKINI İŞYERİ UYGUN 1 KAT DAİRE","160","2+1","10.000 TL","Akhisarİnönü"
"HAVUZLU OTOPARKLI SİTE İÇERİSİNDE FULL LÜKS ÖZEL DİZAYN 2+1","100","2+1","25.000 TL","YunusemreMerkez"
"Reşatbey mah.KİRALIK LÜX DAİRE","120","3+1","14.000 TL","AkhisarFevzipaşa"
"MANİSA KARAALİ EN PRESTİJLİ SİTESİNDE KİRALIK 1+1 EŞYALI DAİRE","60","1+1","14.000 TL","YunusemreMerkez"
"ÇAĞDAŞ EMLAK KURTULUŞ KOŞUYOLU CADDESİ OTOPARKLI SIFIR 2+1 DAİRE","90","2+1","11.500 TL","SalihliBarış"
"TUĞRADAN CUMA MAHALLESİ KİRALIK DAİRE","110","3+1","6.000 TL","Soma"
"KURŞUN GRUPTAN 75.YIL MH. BANKALAR CADDESİNDE 3+1 KİRALIK DAİRE","125","3+1","20.000 TL","YunusemreMerkez"
"VELLİ GAYRİMENKULDEN YENİ MAH KİRALIK 1+1 LÜX DAİRE","65","1+1","11.000 TL","YunusemreMerkez"
"MURADİYE DE ŞU DEPOSU YAKINI KİRALIK 3+1 DAİRE","130","3+1","12.000 TL","YunusemreMerkez"
"BEŞ EYLÜL MH EŞYALI KİRALIK DAİRE","130","2+1","7.500 TL","Alaşehir"
"Ful eşyalı doğal gazlı kiralık daire","80","1+1","8.000 TL","Kırkağaç"
