"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"Manisa Meydan havuzlu sitede 1+1 kiralık sıfır daire","58","1+1","16.000 TL","YunusemreMerkez"
"Çok temiz herseyi sıfır doğal gazlı","110","2+1","12.500 TL","Soma"
"YÖRÜK MH DE KİRALIK JEOTERMALLİ ASANSÖRLÜ 3+1 DAİRE","140","3+1","11.000 TL","SalihliZafer"
"MİMAR SİNAN Mh.nde 3+1 Full Özellikli KİRALIK DAİRE","145","3+1","15.000 TL","ŞehzadelerMerkez"
"KW den Kiralık 2+1 Yeni Bina","105","2+1","19.000 TL","ŞehzadelerMerkez"
"ALAYBEY MAH. 2+1, DOĞAL GAZLI KİRALIK DAİRE","95","2+1","9.750 TL","ŞehzadelerMerkez"
"EMRE EMLAKTAN 1+0 EŞYALI KİRALIK DAİRE MERKEZDE MİTHATPAŞA MAH.","40","Stüdyo (1+0)","10.000 TL","SalihliZafer"
"MURADİYE VİLLALAR BÖLGESİ 1+1 FULL EŞYALI ARAKAT DAİRE","65","1+1","13.500 TL","YunusemreMerkez"
"KİRALIK DAİRE","130","3+1","12.000 TL","YunusemreMerkez"
"Manisa Meydan Sitesi 2+1 Açık Mutfak Havuz Cephe Kiralık Daire","71","2+1","21.500 TL","YunusemreMerkez"
"MANİSA MERKEZ BAHÇELİ ZEMİN 3+1 DAİRE","130","3+1","14.000 TL","YunusemreMerkez"
"2+1 ebeveyn banyolu 98 m² temiz ful eşyalı daire","115","2+1","16.000 TL","YunusemreMerkez"
"MURADİYE VİLLALAR BÖLGESİNDE 2+1 EŞYALI DAİRE","75","2+1","14.000 TL","YunusemreMerkez"
"LİDYA GARDEN SİTESİNDE KİRALIK 2+1 DAİRE","90","2+1","13.000 TL","TurgutluSanayi"
"MANİSA TEVFİKİYE ANA CADDE MODA LİFE ÜZERİ KİRALIK 3+1 DAİRE","135","3+1","15.750 TL","YunusemreMerkez"
"Atatürk Bulvarında 2+1 Doğalgazlı Kiralık","95","2+1","10.500 TL","TurgutluSanayi"
"MERKEZDE SIFIR KİRALIK DAİRE","105","2+1","12.500 TL","TurgutluSanayi"
"BOZKAYA EMLAKTAN KİRALIK 2+1 ARAKAT AÇIK MUTFAKLI","75","2+1","11.000 TL","YunusemreMerkez"
"AVAR CAD.ALİSA GIDA CİVARI KİRALIK 3+1 DAİRE-CAN EMLAK/80","130","3+1","14.000 TL","SalihliZafer"
"KEÇİLİKÖY MAH 3+1 ARAKAT 140M2 FUL ÖZELLİKLİ KİRALIK DAİRE","140","3+1","11.500 TL","YunusemreMerkez"
"İNÖNÜ MAHALLESİ ADLİYE YANI KİRALIK 3+1 ARAKAT DAİRE","135","3+1","12.000 TL","Akhisarİnönü"
"VEGA'DAN VİLLALAR BÖLGESİ 1+1 EŞYASIZ KİRALIK DAİREMİZ","55","1+1","11.000 TL","YunusemreMerkez"
"KİRALIK DAİRE","130","3+1","12.000 TL","ŞehzadelerMerkez"
"HAFSA SULTAN MAHALLESİ KİRALIK EŞYALI DAİRE","100","2+1","9.500 TL","YunusemreMerkez"
"EMRAH EMLAKTAN ATATÜRK MAHALLESİNDE KİRALIK DUBLEKS DAİRE","180","3+1","19.000 TL","AkhisarFevzipaşa"
"2+1 Emsalsiz Konumda Var Daire Lüx Yok Merkeze 5 dk Uzaklıkta","100","2+1","12.000 TL","YunusemreMerkez"
"DUMLU EMLAKTAN KIRALIK 1+1 ARA KAT DAİRE PEKER MAHLESİNDE","65","1+1","14.000 TL","ŞehzadelerMerkez"
"EGE GAYRİMENKULDEN KİRALIK DAİRE","140","3+1","10.500 TL","Saruhanlı"
"Yeni Tadilatlı 3+1 İtfaiye Karşısı","115","3+1","15.500 TL","YunusemreMerkez"
"Göktalı mah 5+1 kiralık dubleks","250","5+1","13.000 TL","ŞehzadelerMerkez"
"Cb Ofis 'ten Miranda Park Karaalide Kiralık Eşyalı 1+1 Daire","75","1+1","17.500 TL","YunusemreMerkez"
"Sahibinden kiralık 3+1 daire","136","3+1","14.500 TL","AkhisarHürriyet"
"GAMA LOJMANLARI CİVARI 1+1 SICAKSULU KİRALIK DAİRE","60","1+1","8.200 TL","Soma"
"kiralık daire","70","2+1","8.000 TL","AlaşehirKöyler"
"ACARLAR MAHALLESİ NDE KİRALIK DAİRE","120","3+1","10.000 TL","TurgutluSanayi"
"Konum harita da yanlış belirtilmiştir","55","2+1","8.500 TL","YunusemreMerkez"
"ESYALİ KİRALİK DAİRE .KAYNAK MAHALLESİ","90","2+1","17.000 TL","YunusemreMerkez"
"Sıfır lüks daire","100","2+1","19.000 TL","YunusemreMerkez"
"KW'DEN ASANSÖRLÜ ,KAPALI MUTFAKLI,ÇİFT BALKON 2+1 KİRALIK DAİRE","95","2+1","15.500 TL","ŞehzadelerMerkez"
"ALAYBEY MAHALLLESİNDE 2+1 ASANSÖRLÜ D.GAZLI KİRALIK DAİRE","100","2+1","11.000 TL","ŞehzadelerMerkez"
"ZEKİ EMLAK'TAN MANİSA MURADİYE MAH. KİRALIK 2+1 A. MUTFAK DAİRE.","85","2+1","10.500 TL","YunusemreMerkez"
"ELBİR EMLAKTAN MURADİYEDE KİRALIK 2+1 ARA KAT DAİRE..","85","2+1","10.000 TL","YunusemreMerkez"
"SEMBOL EMLAK'tan YERLİLER CAMİİ CİVARI KİRALIK DAİRE","170","3+1","13.000 TL","SalihliBarış"
"Villalar Bölgesinde Havuzlu Sitede Kiralık 4+1 Bahçe Katı","213","4+1","35.000 TL","YunusemreMerkez"
"SIFIR ARAKAT DAİRE","100","3+1","17.000 TL","YunusemreMerkez"
