"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"GÜZELYURT MAHALLESİNDE KİRALIK 1+1 TERASLI DAİRE","75","1+1","14.500 TL","YunusemreMerkez"
"Sahibinden","115","2+1","17.250 TL","YunusemreMerkez"
"Sahibinden Kiralık Uncubozköy'de 3+1","135","3+1","18.500 TL","YunusemreMerkez"
"SARUHANLI CUMHURİYET MAHALLESİNDE 1+1 EŞYALI KİRALIK DAİRE","50","1+1","11.500 TL","Saruhanlı"
"DEKA LİFE'DAN Villalar Bölgesinde 2+1 Daire","85","2+1","21.000 TL","YunusemreMerkez"
"EYMEN EMLAKTAN ERGENEKON MH KİRALIK ARAKAT DOĞALGAZLI DAİRE","100","2+1","12.500 TL","TurgutluErgenekon"
"ÇARŞI İÇİNDE, DOĞALGAZLI, MANZARALI DAİRE","120","3+1","7.500 TL","Gördes"
"KİRALIK EŞYALI DAİRE","130","2+1","8.000 TL","Soma"
"Sahibinden kiralık 1+1 eşyalı","65","1+1","13.500 TL","YunusemreMerkez"
"GÜZELYURT MAH KENT PARKA BAKIYOR 3+1 130M2 ARA KAT EŞYALI DAİRE","130","3+1","20.000 TL","YunusemreMerkez"
"MURADİYE MAH BELEDİYE CİVARI 3+1 140M2 ARA 1.KAT FULL","140","3+1","14.000 TL","YunusemreMerkez"
"MERKEZDE KİRALIK 3+1 SICAK SULU DAİRE","130","3+1","15.000 TL","Soma"
"Yüksek Zemin Köşe Daire Sahibinden kiralik","100","2+1","15.000 TL","ŞehzadelerMerkez"
"Emre emlaktan kiralık daire 2 /1 acık mutfaklı","85","2+1","10.500 TL","YunusemreMerkez"
"ALTINŞEHİR'DEN STATÜ PLUS BOZKÖYDE KİRALIK 3+1 ZEMİN DUBLEKS","234","3+1","40.000 TL","YunusemreMerkez"
"AKHİSAR RAGIPBEY MAHALLESİNDE KİRALIK DUBLEKS DAİRE","260","5+1","17.000 TL","AkhisarHürriyet"
"JEMLAK tan Kiralık Daire","160","3+1","14.000 TL","TurgutluErgenekon"
"Karaali Villa'lar Bölgesinde 1+1 Eşyasız KİRALIK Dairemiz!!!","65","1+1","11.000 TL","YunusemreMerkez"
"NOVAKENT GAYRİMENKUL SİTE İÇERİSİNDE LÜKS 2+1 DAİRE","110","2+1","12.000 TL","AkhisarHürriyet"
"AKDENİZ EMLAK'tan Kiralık Peker Mah 3+1 120 m² Ara Kat Daire","130","3+1","15.000 TL","ŞehzadelerMerkez"
"SELFA'DAN MANİSA KARAALİ BÖLG. 1+1 HAVUZLU EŞYALI KİRALIK DAİRE","65","1+1","13.000 TL","YunusemreMerkez"
"10.000TL'DEN BAŞLAYAN ŞİRKETLERE EŞYALI KİRALIK DAİRELER","130","3+1","10.000 TL","AkhisarFevzipaşa"
"MANİSA MEYDAN SİTESİNDE EŞYALI KİRALIK 1+1 SIFIR DAİRE","50","1+1","20.000 TL","YunusemreMerkez"
"Kaynak'ta 3+1 Eşyalı Kiralık Daire","170","3+1","12.000 TL","YunusemreMerkez"
"PEKER MAHALLESİNDE 2+1 MASRAFSIZ ARA KAT DAİRE FIRSATI","105","2+1","15.000 TL","ŞehzadelerMerkez"
"REY MORRİS BEYAZKULE'DEN EŞYASIZ ARAKAT GENİŞ 1+1 KİRALIK DAİRE","80","1+1","15.000 TL","YunusemreMerkez"
"Toki de full eşyalı Soma manzaralı 2+1 daire","95","2+1","10.000 TL","SomaTurgutalp"
"lalekule 1+1 2 kat ful eşyalı havuzlu güvenlkli 20000 tl kiralık","61","1+1","20.000 TL","YunusemreMerkez"
"EMLAK CENTER'DAN MURADİYE MAH 2+0 KİRALIK DAİRE","80","2+0","9.000 TL","YunusemreMerkez"
"Emre emlaktan kiralık daire 2 /1. Ara. Kat. Doğalgazlı","95","2+1","11.000 TL","YunusemreMerkez"
"Özel Medigün Hastanesi civarı","100","2+1","8.000 TL","AkhisarHürriyet"
"TURGUTALP PAZAR YERİ ÜSTÜ KİRALIK DAİRE 2. KAT","110","2+1","11.500 TL","SomaTurgutalp"
"AYSU KNT Emlktan KİRALİK FULL ESYALİ EFENDİ MAHALLESİNDE","140","3+1","11.100 TL","AkhisarHürriyet"
"SARISU MH KİRALIK DAİRE","140","3+1","6.000 TL","Alaşehir"
"Çaltılık mevkinde Ara Kat 2+1 SICAK SULU sıfır daire","100","2+1","10.000 TL","Soma"
"3+1 KİRALIK DAİRE","120","3+1","17.500 TL","YunusemreMerkez"
"ALAŞEHİR SARISU MH. KİRALIK 1+1 DAİRE","60","1+1","6.100 TL","Alaşehir"
"AKHİSAR HÜRRİYET MAH.SSK HASTANESİ YANINDA KİRALIK DUBLEX","260","4+1","12.000 TL","AkhisarHürriyet"
"CREST YATIRIM'DAN TEVFİKİYE MAHALLESİNDE 3+1 KİRALIK DAİRE","130","3+1","15.000 TL","YunusemreMerkez"
"Uncubozköy Mh'de Sıfır eşyalı Full Kiralık 1+1 daire","65","1+1","17.500 TL","YunusemreMerkez"
