"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"DEVLET HASTANESİ YAKINI DOĞALGAZLI ASANSRLÜ 4.ARAKAT 3+1 120 M2","125","3+1","15.000 TL","SalihliBarış"
"Ulucamii Mh. Güplüce Mevkii 2+1 100m² Kiralık Sıfır Arakat Daire","100","2+1","13.250 TL","AkhisarHürriyet"
"Ergenekon Mah. Kiralık 3+1 Daire","150","3+1","20.000 TL","TurgutluErgenekon"
"3+1 Doğa Manzaralı Hastalık Sebebiyle Merkezi Konum Yok Kiralık","130","3+1","13.000 TL","ŞehzadelerMerkez"
"EMRE EMLAKTAN 1+0 KİRALIK STÜDYO DAİRE MERKEZDE MİTHATPAŞA MAH.","40","Stüdyo (1+0)","7.500 TL","SalihliZafer"
"EMRE EMLAKTAN 2+1 EŞYALI KİRALIK DAİRE MERKEZDE MİTHATPAŞA MAH.","85","2+1","15.000 TL","SalihliZafer"
"Karaali de 1+1 bahçe kayı full eşyalı daire","70","1+1","14.000 TL","YunusemreMerkez"
"IZMIR SURAT YOL ÜSTÜ LİRALIK DAİRE","87","2+1","12.250 TL","YunusemreMerkez"
"eşyalı oda","130","3+1","11.000 TL","YunusemreMerkez"
"UNUBOZKÖY'de 115m2 2+1 Otoparklı KİRALIK Daire","125","2+1","17.500 TL","YunusemreMerkez"
"KİRALIK DAİRE","125","3+1","7.000 TL","SalihliZafer"
"FULL EŞYALI SAHİBİNDEN 2+1 KİRALIK DAİRE","85","2+1","15.000 TL","YunusemreMerkez"
"KİRAZOĞLU DEVLET HASTANESİ KARŞI SOKAĞINDA KİRALIK 3+1 DAİRE","150","3+1","13.000 TL","AkhisarHürriyet"
"BEYZA GM'DEN MASKİ CİVARI FULL EŞYALI KİRALIK DAİRE","90","2+1","15.000 TL","ŞehzadelerMerkez"
"SAHİBİNDEN 2+1 KAPALI MUTFAK","110","2+1","14.000 TL","Alaşehir"
"guven emlaktan kiralik 2+1 daire muradiye","90","2+1","12.000 TL","YunusemreMerkez"
"KETHÜDA 2+1 DOĞALGAZ+ KLİMA ARAKAT EŞYALI KİRALIK DAİRE","120","2+1","13.000 TL","AkhisarHürriyet"
"MURADİYE ISTASYON CİVARI 1+1 EŞYALI DAİRE","60","1+1","10.000 TL","YunusemreMerkez"
"HÜSEYİN EMLAKTAN AKSOY MAHALLESİNDE 2+1 100m2 DOĞALGAZLI DAİRE","100","2+1","16.250 TL","SalihliBarış"
"SAHİBİNDEN!! Büyük Migros Altı Full Eşyalı Daire","90","2+1","13.000 TL","Soma"
"HZ ÖMER CAMİİ CİVARI KİRALIK 2+1 DAİRE-CAN EMLAK/79","110","2+1","5.000 TL","SalihliZafer"
"AVŞAR EMLAK'TAN UNCUBOZKÖY'DE 3+1 KİRALIK","120","3+1","16.000 TL","YunusemreMerkez"
"emre emlaktan kiralık. Dubleks","130","3+1","19.000 TL","YunusemreMerkez"
"BOZKAYA EMLAKTAN KİRALIK 2+1 YÜKSEK GİRİŞ","100","2+1","8.000 TL","YunusemreMerkez"
"TURAN MAH AKÇAKMAK YOLU 7/24 MARKET ÜSTÜ","130","3+1","15.000 TL","TurgutluErgenekon"
