"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"AKMAN GAYRİMENKULDEN MURADİYE MAH. 1 MAYIS 2+1 K.M KİRALIK DAİRE","100","2+1","11.000 TL","YunusemreMerkez"
"JEmlak'tan Eşyalı Kiralık Daire","100","2+1","14.000 TL","TurgutluErgenekon"
"TEVFİKİYE MAH 3+1 DOĞALGAZLI ASANSÖRLÜ KİRALIK DAİRE","130","3+1","14.000 TL","YunusemreMerkez"
"CUMHURİYET MH. 3+1 130m2 EŞYALI DOĞAL GAZLI KİRALIK DAİRE","145","3+1","18.000 TL","TurgutluErgenekon"
"MANİSA ŞEHZADELER 2.ANAFARTALAR MH EŞYALI KİRALIK FULL ARAKAT","55","1+1","10.400 TL","ŞehzadelerMerkez"
"Manisa Alaşehir Yenice Mah.de Askerlik Şubesi Karşısında Kiralık","125","2+1","10.000 TL","Alaşehir"
"EŞYALI KİRALIK DAİRE TEVFİKİYE MAH 2+1 90M² ASANSÖRÜ DAİRE","100","2+1","14.000 TL","YunusemreMerkez"
"KİRALİK 3+1 150 M2 YEŞİLYURT MAHALLESİNDE DOGALGAZ KOMBİLİ","150","3+1","15.000 TL","SalihliBarış"
"ŞEHİR MERKEZİNDE 3+1 DOGAL GAZLI DAİRE","135","3+1","10.000 TL","AkhisarHürriyet"
"Mevki yerde doğalgazlı kiralık daire","140","3+1","11.500 TL","TurgutluSanayi"
"ORUL GRUP'TAN MURADİYE'DE EŞYALI KİRALIK 2+1 AÇIK MUTFAK DAİRE","85","2+1","16.500 TL","YunusemreMerkez"
"SARIGÖL MERKEZDE KİRALIK DAİRE","155","3+1","10.000 TL","Sarıgöl"
"Startkey Platin'den Çarşı Merkezde 2+1 Asansörlü Daire","68","2+1","15.000 TL","ŞehzadelerMerkez"
"SİTELER MAHALLESİNDE KİRALIK DAİRE","155","3+1","8.000 TL","Sarıgöl"
"SALİHLİ KİRALIK 2+1 DAİRE KOCAÇEŞME MAH. ACISU CAD.","88","2+1","5.500 TL","SalihliZafer"
"Mükemmel Ötesi Var Merkezi Konum 3+1 Daire Yok Doğa Manzaralı","140","3+1","20.000 TL","Alaşehir"
"KİRALİK 3+1 FEVZİ PAŞA CADDESİ TREN YOLU CEPHELİ DAİRE","145","3+1","10.000 TL","Salihli"
"Güzelyurt Mh 1+1 full eşyalı","70","1+1","12.000 TL","YunusemreMerkez"
"Güzelyurt da KİRALIK 1+1","60","1+1","14.000 TL","YunusemreMerkez"
"MANİSA YENİ MH CADDE ÜZERİ 1+1 EŞYALI ASANSÖRLÜ ARAKAT","50","1+1","12.000 TL","YunusemreMerkez"
"MÜDÜR EMLAKTAN KİRALIK ASANSÖRLÜ 1+1 EŞYALI KLİMALI DAİRE","55","1+1","10.000 TL","Alaşehir"
"EMLAK CENTER'DAN 2.ANAFARTALAR MAH 1+1 EŞYALI KİRALIK DAİRE","60","1+1","12.500 TL","ŞehzadelerMerkez"
"ULUPARK CIVARI 3+1 DOGALGAZLI DUBLEKS","150","3+1","14.000 TL","ŞehzadelerMerkez"
"Kurtuluş Mahallesinde 3+1 Kiralık Daire","135","3+1","11.000 TL","SalihliBarış"
"GÖKHAN EMLAK'TAN Reşatbeyde 3+1 Full Eşyalı Kiralık Daire 1. Kat","125","3+1","20.000 TL","AkhisarFevzipaşa"
"YAŞAMDAN SEVGİ YOLUNDA 3+1 EŞYALI KİRALIK BAKIMLI DAİRE","140","3+1","17.500 TL","AkhisarHürriyet"
"VEGA'DAN MİMARSİNAN MAH 3+1 KİRALIK DAİRE","120","3+1","10.000 TL","ŞehzadelerMerkez"
