"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"ALPHARDA EŞYALI KİRALIK 1+1 ÖNCEPHE DAİRE","75","1+1","15.000 TL","TurgutluSanayi"
"Kiralık daire","115","2+1","15.000 TL","AkhisarHürriyet"
"1+1 KİRALIK DAİRE","75","1+1","15.000 TL","TurgutluSanayi"
"ERGENEKON MAHALLESİNDE 3+1 KİRALIK DAİRE","150","3+1","16.500 TL","TurgutluErgenekon"
"KİRALIK 1+1 DAİRE","65","1+1","13.500 TL","YunusemreMerkez"
"MANİSA MURADİYE'DE İSTASYON CİVARI 2+1 ARA KAT KİRALIK DAİRE....","90","2+1","11.000 TL","YunusemreMerkez"
"kecilikoy mh 1+1 60m2 full eşyalı doğalgazlı daire","60","1+1","8.900 TL","YunusemreMerkez"
"VELLİ'DEN MÜKEMMEL LOKASYONDA GÜZELYURT MAH 4+1 ULTRA LÜX","198","4+1","40.000 TL","YunusemreMerkez"
"REAL,den KİRALIK 2+1 SIFIR DAİRE ÇARŞI MERKEZDE","90","2+1","17.500 TL","ŞehzadelerMerkez"
"MG EMLAK'TAN FATİH MAHALLESİ'NDE KİRALIK 3+1 SIFIR LÜKS DAİRE","145","3+1","15.250 TL","Alaşehir"
"Manisa Meydan Sitesi 1+1 Havuz Peyzaj Cepheli Kiralık Daire","45","1+1","15.000 TL","YunusemreMerkez"
"Selvitepe mahallesinde 3+1 Kiralık daire","125","3+1","10.000 TL","TurgutluSanayi"
"EGENET GAYRİMENKUL'DEN MANİSA YELKEN 2 SİTESİNDE KİRALIK DAİRE","159","3+1","30.000 TL","YunusemreMerkez"
"MANİSA SALİHLİ CUMHURİYET MAHALLESİ KİRALIK JEOTERMALLİ DAİRE !!","130","3+1","8.500 TL","Salihli"
"Oscar Gayrimenkul Manisa Alaşehir İstasyon Mah.de Kiralık Daire","140","3+1","9.000 TL","Alaşehir"
"karaköy topçu asım mahallesinde kiralık daire","120","2+1","11.000 TL","ŞehzadelerMerkez"
"SELVİLİTEPE MH. MİMARSİNAN CADDESİNDE 3+1","125","3+1","14.000 TL","TurgutluSanayi"
"Manisa Güzelyurt'da Merkezi Yerde Kiralık 3+1 Site Dairesi","140","3+1","13.500 TL","YunusemreMerkez"
"KORKMAZ'DAN CARSİ MERKEZDE EŞYALI KİRALİK TERASLI 2+1 DAİRE","150","2+1","12.000 TL","AkhisarHürriyet"
"İZEFESDEN MANİSA SİTE İÇERİSİNDE KİRALIK 2+1 DAİRE","67","2+1","25.000 TL","YunusemreMerkez"
"PLUS+ GAYRİMENKUL'den LİDYA GARDEN CİTY'de - BAHÇE KATI 2+1","120","2+1","17.500 TL","TurgutluSanayi"
"ARAKAT KİRALIK DAİRE","100","2+1","9.000 TL","ŞehzadelerMerkez"
"GÜZELYURT GÖÇMEN KONUTLARINDA 2+1 KİRALIK DAİRE","75","2+1","12.000 TL","YunusemreMerkez"
"Laleli Mah Müstakil Bahçeli Dubleks Ev / Ofis 4+1","250","4+1","18.000 TL","YunusemreMerkez"
"ALTINŞEHİRDEN VİLLALAR BÖLGESİNDE KİRALIK 3+1 TERASLI DAİRE","120","3+1","25.000 TL","YunusemreMerkez"
"M&G EMLAK'TAN MURADİYEDE EŞYALI KİRALIK 1+1 65M2 DAİRE","65","1+1","10.000 TL","YunusemreMerkez"
"AVAR CİVARI FULL EŞYALI KİRALIK 1+1 DAİRE-CAN EMLAK/94","60","1+1","8.000 TL","SalihliZafer"
"Kiralık uygun fiyatlı daire","95","2+1","2.500 TL","Kırkağaç"
"Manisa Startkey Elitten Maltada Cadde Üstü Kiralık","100","2+1","15.000 TL","YunusemreMerkez"
"ÇETİN SU EMLAKTAN KİRALIK DAİRE","145","3+1","6.000 TL","Soma"
"manisa yunusemre muradiye","130","3+1","23.000 TL","YunusemreMerkez"
"HAVUZLU SİTEDE KİRALIK EŞYALI 2+1 AÇIK MUTFAKLI","100","2+1","17.000 TL","YunusemreMerkez"
"SALİHLİ CUMHURİYET MAH. KİRALIK 2+1 DOĞALGAZLI ASANSÖRLÜ DAİRE","95","2+1","12.000 TL","Salihli"
"YASİN EMLAKTAN KIRALIK ŞEHZADELER ALAYBEY MH Y ZEMIN 2+1 85M2","90","2+1","11.000 TL","ŞehzadelerMerkez"
"MANİSA SALİHLİ'DE 1+1 KİRALIK DAİRE MİTHATPAŞA MAH.","70","1+1","8.000 TL","SalihliZafer"
"SALİHLİ AKSOY MAH. KİRALIK 3+1 DOĞALGAZLI ,ASANSÖRLÜ DAİRE","180","3+1","16.000 TL","SalihliBarış"
"YASİN EMLAKTAN KIRALIK ŞEHZADELER NİŞANCIPAŞA MH 6.KAT 2+1 100M2","100","2+1","15.000 TL","ŞehzadelerMerkez"
"ASANSÖRLÜ DUBLEX DAİRE","200","5+1","16.000 TL","ŞehzadelerMerkez"
"AKHİSAR REŞATBEY DE 2+1 DOĞALGAZLI 120 M2 DAİRE","130","2+1","7.000 TL","AkhisarFevzipaşa"
"110m2 Daire, Doğalgazlı, 3. kat","125","2.5+1","12.000 TL","Saruhanlı"
"LOFÇA GAYRİMENKULDEN MURADİYE'DE EŞYALI 2+1 DAİRE","80","2+1","13.000 TL","YunusemreMerkez"
