"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","searchResultThumbnailPlaceholder src"
"Emre emlaktan kiralık. Daire 1 /1. Doğalgazlı","90","2+1","15.000 TL","YunusemreMerkez",""
"ATA GAYRİMENKULDEN 1+1 KİRALIK DAİRE","60","1+1","12.500 TL","YunusemreMerkez",""
"Faturalar Dahil Eşyalı Kiralık Daire","86","1+1","12.500 TL","ŞehzadelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"75.yıl mahallesinde komple sıfırdan yapılı 3+1sahibinden kiralık","105","3+1","22.000 TL","YunusemreMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"MANİSA GÜZELYURTTA SİTE İÇİNDE KİRALIK GENİŞ DAİRE","170","3+1","30.000 TL","YunusemreMerkez",""
"ŞEHZADELER MAH.","120","3+1","17.000 TL","ŞehzadelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"ev arkadaşı","100","3+1","4.500 TL","YunusemreMerkez",""
"Yeni hükümet konağı karşısı","85","3+1","7.500 TL","Soma","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"ACARLAR MAHALLESİ NEFİS KONUMDA BAKIMLI KİRALIK 3+1","150","3+1","13.250 TL","TurgutluSanayi",""
"SAHİBİNDEN KİRALIK","96","2+1","7.000 TL","Kırkağaç","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"KARE'den KARAALİ VİLLALAR BÖLGESİNDE EŞYALI 1+1 DAİRE","80","2+1","14.000 TL","YunusemreMerkez",""
"Manisa Alaşehir Kurtuluş Mah.de M.Akif Ersoy Ortaokulu Karşısı","150","3+1","14.000 TL","Alaşehir",""
"Eşyalı Geniş 1+1","85","1+1","15.500 TL","YunusemreMerkez",""
"Manisa sürat yolu üzerinde akkanlı emlaktan kiralık 3+1 daire","110","3+1","13.000 TL","YunusemreMerkez",""
