"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"KARAUSTA'DAN HÜRRİYET'TE KİRALIK 3+1 DAİRE","125","3+1","11.000 TL","AkhisarHürriyet"
"CUMHURİYET MAH 2+1 EŞYALI KİRALIK","90","2+1","13.000 TL","TurgutluErgenekon"
"Emre emlaktan kiralık daire 2/1 Ara kat "" TEK KİŞİ MEMUR","99","2+1","8.000 TL","YunusemreMerkez"
"ALTINTAŞ OKULUNUN YANINDA SICAK SULU YENİ DAİRE","95","2+1","8.500 TL","Soma"
"KARAUSTA'DAN MEDAR TOKİ'DE KİRALIK 2+1 SIFIR DAİRE","90","2+1","10.000 TL","AkhisarMedar"
"MÜDÜR EMLAKTAN KİRALIK MÜFTÜLÜK YAKININDA EŞYALI SOBALI DAİRE","95","2+1","6.000 TL","Alaşehir"
"FUL EŞYALI 3+1 125m2 ARAKAT ASANSÖRLÜ ÇİFT CEPHE DAİRE","135","3+1","17.000 TL","ŞehzadelerMerkez"
"ÖMÜR EMLAKTAN MANİSA YUNUSEMRE MURADİYEDE EŞYALI KİRALIK DAİRE","50","1+1","11.500 TL","YunusemreMerkez"
"DEKA LİFE 'dan Görülmeye Değer Kiralık 2+1 Lüx Sıfır Daire","100","2+1","22.000 TL","YunusemreMerkez"
"DEKA-LİFE'dan Harmony Life Sitesinde 4+1 Kiralık Geniş Daire","190","4+1","32.000 TL","YunusemreMerkez"
"MANİSA GÜZELYURTTA SİTE İÇERİSİNDE FULL EŞYALI KİRALIK 1+1 DAİRE","70","1+1","15.000 TL","YunusemreMerkez"
"KORKMAZ'DAN ATATÜRK MAH. TARİŞ MEVKİİ'NDE KİRALIK ARAKAT 2+1","110","2+1","15.000 TL","AkhisarFevzipaşa"
"SAHİBİNDEN KİRALIK 1+1 DAİRE","55","1+1","11.000 TL","YunusemreMerkez"
"AYTAÇ EMLAK'TAN MURADİY'DE SİTE İÇİNDE EŞYALI KİRALIK 2+1 DAİRE","90","2+1","15.000 TL","YunusemreMerkez"
"Bahçeşehir Koleji Yakını 2+1 KİRALIK Bahçe Katımız !!!","89","2+1","18.000 TL","YunusemreMerkez"
"ÖZKAYA EMLAK'TAN MURADİYE MERKEZ'DE EŞYALI KİRALIK 1+1 DAİRE","65","1+1","12.000 TL","YunusemreMerkez"
"PLUS+ GAYRİMENKUL'den MUSAL EVLERİ'nde BALKONLU- FULL EŞYALI 1+1","80","1+1","13.500 TL","TurgutluSanayi"
