"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"CENTRAL35 LİDER AKINCILAR 100M2 2+1 D.GAZLI AYRI MUTFAK","100","2+1","14.500 TL","BucaŞirinyer"
"menemen incirlipınar mah. site içerisinde 3+1 yeni daire","116","3+1","12.500 TL","MenemenAsarlık"
"MANİSALI EMLAK 2 DEN İZBAN YAKIN 3+1 ARAKAT KOMBİLİ 3 CEPHELİ","150","3+1","20.000 TL","KarşıyakaYalı"
"Mavişehir Flamingo 16 FULL TADİLATLI muhteşem KİRALIK 3+1 Daire","160","3+1","45.000 TL","KarşıyakaDenizbostanlısı"
"ÜÇKUYULUR HASANAGA BAHCESİNE YÜRÜME MESAFESİNDE 2+1 daire","98","2+1","18.000 TL","Buca"
"Mükemmel Deniz Manzaralı Güzel Konumda","120","3+1","20.000 TL","Konak"
"Dikili Merkezde Kiralık 2+1 Daire","106","2+1","21.500 TL","Dikili"
"VOLKAN EMLAKTAN EVKA3'TE DOĞA MANZARALI EŞYALI 3+1","120","3+1","20.000 TL","BornovaNaldöken"
"Sahibinden Tertemiz Kiralık","120","3+1","20.000 TL","KarşıyakaAlaybey"
"SaygınNergiz Team - Has Evler Sitesinde Yeni 3+1","130","3+1","25.000 TL","ÇiğliEgekent"
"Yiğitler Mh. 3+1 170M2 Kapalı Mutfak Doğalgazlı Kiralık Daire","170","3+1","19.400 TL","Bucaİşçievleri"
"Şirinyer Merkezde 2+1 Çift Banyolu Ful Eşyalı Kiralık Daire","85","2+1","16.500 TL","Bucaİşçievleri"
"Adatepe mahallesi üniversiteye yakın 2+1","90","2+1","17.500 TL","Buca"
"Kiralık geniş daire","150","3+0","8.000 TL","BayraklıSoğukkuyu"
"BAYRAKLI ŞEHİR HASTANESİ YAKIN SIFIR EŞYALI ASANSÖRLÜ KİRALIK","70","1+1","14.000 TL","BayraklıAlpaslan"
"sahibinden müstakil kiralık 1+1","90","1.5+1","6.500 TL","KarabağlarKibar"
"BUCA ADATEPE EŞYALI KİRALIK DAİRE","90","2+0","13.000 TL","Buca"
