"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"ORHAN EMLAKTAN GÜZELYURTTA SİTE İÇİNDE 4+1 SIFIR ULTRA LÜX DAİRE","205","4+1","42.000 TL","YunusemreMerkez"
"ORHAN EMLAKTAN KARAALİDE HAVUZLU SİTEDE KİRALIK 1+1 EŞYALI DAİRE","65","1+1","13.500 TL","YunusemreMerkez"
"Arda Mahallesi'nde Kiralık 3+1 Doğal Gazlı Son Kat Daire","120","3+1","11.000 TL","ŞehzadelerMerkez"
"İL SAGLIK MÜDÜRÜGÜ KARŞISI KİRALIK İŞ YERİ","130","3+1","18.000 TL","YunusemreMerkez"
"M&G EMLAK'TAN MURADİYEDE EŞYALI KİRALIK 2+0 DAİRE TERASLI DAİRE","70","1+1","10.000 TL","YunusemreMerkez"
"REAL,den KİRALIK 3+1 KARAKÖY MEVKİ ARAKAT DAİRE.","160","3+1","18.000 TL","YunusemreMerkez"
"SICAK SULU KİRALIK DAİRE","110","3+1","6.500 TL","Soma"
"KİRALIK EŞYALI 1+1 İSTASYON MH DOĞALGAZLI","65","1+1","11.000 TL","Alaşehir"
"Dubleks Kiralık Daire","220","3+1","15.000 TL","Saruhanlı"
"Villalar Bölgesinde EŞYALI Kiralık 2+1","90","2+1","30.000 TL","YunusemreMerkez"
"SAHİBİNDEN ÇARŞI MERKEZ FULL EŞYALI","55","1+1","9.500 TL","SalihliZafer"
"Eski garajcivarı asansör yok bekara öğrenciye calışana","120","3+1","12.000 TL","ŞehzadelerMerkez"
"CALERAMOON Gayrimenkul'den Oliva Sitesi Kiralık Double-X Daire","328","5+1","17.500 TL","AkhisarHürriyet"
"BELİZDEN 1. Nakliye CADDESİNDE 2+1 KİRALIK DAİRE","90","2+1","6.000 TL","AkhisarHürriyet"
"Güzlü Gayrimenkulden 5+2 kiralık dubleks 20000 fiyat düştü","260","5+2","20.000 TL","ŞehzadelerMerkez"
"gölete yürüme mesafesinde 3+1 kiralık 0 dublex","144","3+1","14.500 TL","AkhisarFevzipaşa"
"3+1 Var Hastalık Sebebiyle Konut Çok Uygun Fiyat Düştü! Açık Otopark","140","3+1","13.000 TL","YunusemreMerkez"
