"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"MANİSA YUNUSEMRE MURADİYE'DE 2+1 80 M² KİRALIK SON KAT 10000 TL","85","2+1","10.000 TL","YunusemreMerkez"
"Startkey Elit'den Peker Mah Eski Adliye Yanı Kiralık Ofis","110","3+1","15.000 TL","ŞehzadelerMerkez"
"***SAHİBİNDEN*** DOĞALGAZLI YENİ BOYANMIŞ 2+1 DAİRE","85","2+1","10.500 TL","YunusemreMerkez"
"EMLAK CENTER'DAN KEÇİLİKÖY MAH KİRALIK 2+1 MÜSTAKİL EV","100","2+1","8.000 TL","YunusemreMerkez"
"Manisa Meydan'da 1+1 kiralık","45","1+1","15.000 TL","YunusemreMerkez"
"SANCAKLI BOZKÖY TOKİ DE 2+1 YÜKSEK ZEMİN FUL LÜX DAİRE","85","2+1","7.500 TL","ŞehzadelerMerkez"
"Dostlardan KİRALIK DAİRE efendi mahallesinde","113","2+1","6.000 TL","AkhisarHürriyet"
"YÖRÜK MH zemin kat DOĞALGAZLIKİRALIK DAİRE KOÇ EMLAK","95","2+1","9.000 TL","SalihliZafer"
"H&K GAYRİMENKULDEN NİŞANCIPAŞADA 3+1 KİRALIK ARAKAT","148","3+1","17.000 TL","ŞehzadelerMerkez"
"AKSOY MAH.3+1DOĞALGAZLI ASANSÖRLÜ 160M2 LÜX KİRALIK DAİRE","175","3+1","18.000 TL","SalihliBarış"
"Yeni Mahalle'de Kiralık 3+1 Asansörlü Arakat Daire","145","3+1","17.000 TL","YunusemreMerkez"
"KARAALİ VİLLALAR BÖLGESİNDE 2+1 BAHÇE KATI DAİRE","90","2+1","15.000 TL","YunusemreMerkez"
"ARSLAN EMLAK'TAN KAYNAK MAHALLESİNDE KİRALIK DAİRE","125","3+1","15.000 TL","YunusemreMerkez"
"Altınşehirden Villalar Bölgesinde Eşyalı Kiralık 1+1 Daire","62","1+1","13.250 TL","YunusemreMerkez"
