"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"kiralik oda","90","3+1","7.500 TL","ŞehzadelerMerkez"
"Eşyalı kiralık daire","100","2+1","7.500 TL","Soma"
"MURADİYE 23 NİSAN PARKI YAKININDA KİRALIK 3+1 DUBLEKS..","110","3+1","15.000 TL","YunusemreMerkez"
"REY MORRİS BEYAZKULE'DEN MANİSA MERKEZ 3+1 ARAKAT KİRALIK DAİRE","115","3+1","15.000 TL","ŞehzadelerMerkez"
"AKMESCİT MAH 4+1 KİRALIK DUBLEX DAİRE","220","4+1","14.000 TL","YunusemreMerkez"
"ERMAN EMLAKTAN KİRALIK LÜKS 1+1 EŞYALI DAİRE","60","1+1","10.000 TL","Alaşehir"
"ERMAN EMLAKTAN 1+1 EŞYALI DAİRE","75","1+1","8.000 TL","Alaşehir"
"DEKA LİFE'dan Güzelyurt'ta 4+1 Kiralık Daire","240","4+1","40.000 TL","YunusemreMerkez"
"LOFÇA GAYRİMENKULDEN ŞEHİTLER MAH 5+2 DUBLEX DAİRE","260","5+2","20.000 TL","ŞehzadelerMerkez"
"KÖKTAN GAYRİMENKULDEN 1+1 KAPALI MUTFAK KİRALIK DAİRE","70","1+1","10.000 TL","YunusemreMerkez"
"ATBİNER EMLAKTAN YENİ MAH.1+1 70m2 KAPALI MUTFAKLI Y.ZEMİN DAİRE","70","1+1","12.000 TL","YunusemreMerkez"
"MANİSA SALİHLİ ÇARŞIDA BİRLİK SİTESİ'nde 3+1 KİRALIK DAİRE","140","3+1","12.000 TL","Salihli"
"ATATÜRK MAHALLESİNDE EŞYALI KİRALIK DAİRE","125","2+1","17.000 TL","AkhisarFevzipaşa"
"ZEKİ EMLAK'TAN MURADİYE'DE İSTASYON CİVARI EŞYALI KİRALIK 1+1 D.","60","1+1","10.000 TL","YunusemreMerkez"
"LİFECİTY DE YOL CEPHE EŞYALI 1+1 DAİRE","65","1+1","14.000 TL","TurgutluSanayi"
"AKSOY MAH HAZERFAN PARKI YANI JEOTERMALLİ 3+1 BAKIMLI DAİRE","130","3+1","9.000 TL","SalihliBarış"
"KELİ MAHALLESİNDE KİRALIK 3+1 SIFIR DAİRE + LİDYA CİTY","144","3+1","12.000 TL","SalihliBarış"
"BEŞEYLÜL MAHALLESİNDE KİRALIK 2+1 AMERİKAN MUTFAK DAİRE","75","2+1","9.000 TL","Salihli"
"ALPART VE ATA TEPE ARKASI","90","2+1","10.000 TL","TurgutluSanayi"
"MEDİGÜN HASTANESİ CİVARINDA 3+1","130","3+1","8.500 TL","Soma"
"Sahibinden Kiralik","120","3+1","13.000 TL","YunusemreMerkez"
"EGENET GAYRİMENKUL'DEN UNCUBOZKÖY MAHALLESİNDE GENİŞ 1+1","65","1+1","14.000 TL","YunusemreMerkez"
"PAŞA MAH. TEPE MEZARI YAKINI KİRALIK 3+1 DAİRE","120","3+1","10.750 TL","AkhisarHürriyet"
"Pusula Gayrimenkul'den ana cadde üzeri kiralık dubleks","280","6+1","20.000 TL","YunusemreMerkez"
"Muradiye'de Kiralık Doğalgazlı ve Asansörlü 2+1 Site Dairesi","95","2+1","15.000 TL","YunusemreMerkez"
"ETC'den Kuşlubahçe'de 2+1 100 m2 Köşe Bahçe Nizam KİRALIK","100","2+1","15.000 TL","ŞehzadelerMerkez"
"SANCAKLIBOZKÖY TOKİ EVLERİNDE KİRALIK DAİRE","85","2+1","7.000 TL","ŞehzadelerMerkez"
"AKTAŞ'TAN KARAALİ DE KİRALIK 3+1 LÜKS DAİRE","140","3+1","30.000 TL","YunusemreMerkez"
"Hafsa Sultan Mahallesi'nde kiralık 2+1 eşyalı daire","100","2+1","9.500 TL","YunusemreMerkez"
"Muradiye Karaali'de 1+1 eşyalı kiralık daire","70","1+1","16.000 TL","YunusemreMerkez"
"SADECE MEMURA SGK CİVARI KİRALIK 2+1 DAIRE-CAN EMLAK/67","120","2+1","14.000 TL","Salihli"
"Çarşı Mh 2+1 ara kat sıfır daire","120","2+1","17.000 TL","ŞehzadelerMerkez"
"SELÇUK GYO "" KOĞUKDERE 3+1 KALORİFERLİ MASRAFSIZ DAİRE","130","3+1","8.000 TL","Soma"
