"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"AYTAÇ EMLAK'TAN MURADİYE'DE KİRALIK 2+1 DAİRE","90","2+1","10.000 TL","YunusemreMerkez"
"EŞYALI Kiralık 2+1 Daire","70","2+1","21.000 TL","YunusemreMerkez"
"kiralık 2+1 daire","90","2+1","12.500 TL","YunusemreMerkez"
"Turgutalp Barış Manço kavşağı civarı 2 + 1 sıfır daire","100","2+1","10.000 TL","SomaTurgutalp"
"MANİSA SANCAKLI BOZKÖY TOKİ KİRALIK ARAKAT DAİRE VELLİ' den","100","2+1","7.000 TL","ŞehzadelerMerkez"
"ZEKİ EMLAK'TAN MURADİYE'DE KİRALIK 1+1 GENİŞ FERAH DAİRE.","70","1+1","8.500 TL","YunusemreMerkez"
"MANİSA KARAALİ MAH. YÜKSEK ZEMİN 3+1 DOĞALGAZLI KİRALIK DAİRE","140","3+1","10.000 TL","YunusemreMerkez"
"Bu Fiyata Yok! Daire Kaçırılmayacak Fırsat! Açık Otopark 2+1 Var Emsalsiz Konumda","105","2+1","23.000 TL","YunusemreMerkez"
"ADLİYE CİVARI 3+1 120 M2 KİRALIK SICAKSULU DAİRE","125","3+1","11.000 TL","Soma"
"LALE MEYDANI CİVARI KİRALIK 2+1 DAİRELER!!!","85","2+1","20.000 TL","YunusemreMerkez"
"ÖZGÜN GM'DEN MURADİYE VİLLALAR BÖLGESİ KİRALIK 2+1 ARAKAT DAİRE","110","2+1","19.000 TL","YunusemreMerkez"
"NAKLİYECİLER OKULU CİVARI 2+1 120 M2 KİRALIK DAİRE","120","2+1","10.000 TL","Soma"
"AKHİSAR ULUCAMİ MAHALLESİNDE KİRALIK DAİRE","105","2+1","14.500 TL","AkhisarHürriyet"
"EŞYALI LÜKS DOĞALGAZLI DAİRE","115","2+1","15.000 TL","Alaşehir"
"MASAL ORMANI KARŞISI 3+1 135M2 SAHİBİNDEN KİRALIK DAİRE","150","3+1","12.000 TL","SalihliBarış"
"SEMBOL EMLAK'tan FULL EŞYALI KİRALIK 1+1 DAİRE","80","1+1","10.000 TL","SalihliBarış"
"AYKUT'TAN ATATÜRK MAHALLESİNDE SIFIR KİRALIK 1+1 DAİRELER","75","1+1","10.000 TL","YunusemreMerkez"
"Manisa Alaşehir İstasyon Mah.de Urfa Sofrası Üstü Kiralık Daire","175","3+1","16.000 TL","Alaşehir"
"MANİSA SALİHLİ SEMBOL EMLAK KİRALIK HAVUZLU VİLLA","500","5+1","25.000 TL","SalihliBarış"
"LOFÇA GAYRİMENKULDEN KARAALİ VİL. BÖL GENİŞ 2+1 ARA KAT DAİRE","117","2+1","25.000 TL","YunusemreMerkez"
"2+1 eşyalı kaloriferli daire","135","2+1","8.000 TL","Demirci"
"Sahibinden sıfır 2+1","90","2+1","13.500 TL","AkhisarHürriyet"
"Manisa Yunusemre Hafsa Sultan Mh'de Kiralik Eşyalı Daire 2+1","100","2+1","9.500 TL","YunusemreMerkez"
"UTKU GAYRİMENKULDEN AKHİSAR HÜRRİYET MAH KİRALIK 3+1 DAİRE","135","3+1","13.500 TL","AkhisarHürriyet"
"EGE'DE ÜSTELİK DOĞANIN TAM GÖBEĞİNDE YAŞAMAK İSTEYENLERE FIRSAT.","80","1+1","8.750 TL","AkhisarKöyler"
"HAVUZLU GÜVENLİKLİ OTOPARKLI SİTE İÇERİSİNDE EŞYALI 1+1 DAİRE","65","1+1","15.000 TL","YunusemreMerkez"
"HÜRRİYET MAHALLESİ'NDE 3+1,ÇİFT BALKONLU,ÖNÜ AÇIK DAİRE","115","3+1","7.000 TL","AkhisarHürriyet"
"kiralık daire ev arkadaşliği","130","3+1","3.500 TL","YunusemreMerkez"
"Güzelyurt'ta Kiralık Eşyalı 1+1 Havuzlu Güvenlikli Site Dairesi","70","1+1","15.000 TL","YunusemreMerkez"
"TURGUTLU LİFE CİTY DE 1 + 1 KİRALIK EŞYALI DAİRE","65","1+1","13.000 TL","TurgutluSanayi"
"HAVUZLU SİTEDE KİRALIK 3+1 DAİRE","135","3+1","16.000 TL","Saruhanlı"
"STATÜ RENT DEN 4+1 TERASLI OTOPARKLI DUBLEKS DAİRE","220","4+1","19.000 TL","ŞehzadelerMerkez"
"STATÜ DREAM'DE EŞYALI, KİRALIK 1+1 DAİRE","65","1+1","15.000 TL","YunusemreMerkez"
"MERKEZ EFENDİ 2+1 full YENİ DAİRE","110","2+1","15.500 TL","YunusemreMerkez"
"AKHİSAR HÜRRİYET MAH.150 m2 3+1 KİRALIK DAİRE","150","3+1","13.000 TL","AkhisarHürriyet"
"AKHİSAR MEDAR TOKİ KONUTLARINDA 3+1 KİRALIK DAİRE","125","3+1","12.250 TL","AkhisarMedar"
"GÜZELYURT MAHALLESİNDE KİRALIK DAİRE","135","3+1","23.000 TL","YunusemreMerkez"
"İNMODA' DA 1+1 KİRALIK DAİRE","70","1+1","12.000 TL","YunusemreMerkez"
"SAĞLIK OCAĞI CİVARI 2+1 KAPALI MUTFAK KİRALIK","95","2+1","13.500 TL","YunusemreMerkez"
"Bekar Bayana Eşyalı ev","70","1+1","8.000 TL","AkhisarHürriyet"
"KURTULUŞDA KİRALIK 3+1 DOĞAL GAZLI DAİRE","140","3+1","12.000 TL","SalihliBarış"
"SARIGÖL MERKEZ KİRALIK LÜKS DAİRE","165","3+1","11.000 TL","Sarıgöl"
"1+1 kiralık daire","60","1+1","11.000 TL","YunusemreMerkez"
"/ÇETİN GROUP-REZİDANS/OTEL ULTRA LÜX HER ŞEY DAHİL DAİRELER","70","1+1","19.000 TL","Alaşehir"
"2.Anafartalarda Eşyalı 1+1 D.gazlı klimalı Kiralık Daire","70","1+1","12.000 TL","ŞehzadelerMerkez"
"YENİMAHALLE 155M2 SİFİR KİRALIK DAİRE","160","3+1","25.000 TL","Turgutlu"
"KİRALIK EŞYALI DAİRE","70","1+1","13.500 TL","YunusemreMerkez"
"KARACA GAYRIMENKUL'DEN KARAALI ViLLALAR BOLGESiNDE 2+1 KiRALIK","90","2+1","18.000 TL","YunusemreMerkez"
"BEYZA GM'Den ÇARŞININ GÖBEĞİNDE FULL EŞYALI KİRALIK DAİRE","95","2+1","23.000 TL","ŞehzadelerMerkez"
"Avar Caddesinde, Can hastanesine 300 metre 3+1 geniş daire","160","3+1","12.500 TL","SalihliZafer"
"Turgutlu Merkezde 1+1 Eşyalı, Otoparklı Kiralık Daire","75","1+1","10.000 TL","TurgutluSanayi"
